# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		9089		4595		3287
1		8481		8861		3362
2		7988		12781		3428
3		7474		16236		3438
4		6864		19248		3413
5		6222		21644		3430
6		5689		23637		3464
7		5094		25280		3441
8		4658		26558		3426
9		4342		27662		3393
10		4079		28573		3404
11		3822		29351		3423
12		3589		29970		3412
13		3449		30530		3404
14		3330		31045		3411
15		3237		31445		3396
16		3135		31797		3416
17		3052		32120		3393
18		2995		32397		3403
19		2919		32662		3406
20		2906		32897		3409
21		2872		33170		3398
22		2840		33407		3402
23		2794		33660		3398
24		2736		33911		3401
25		2713		34141		3413
26		2688		34324		3413
27		2683		34507		3412
28		2655		34693		3403
29		2631		34885		3416
30		2626		35070		3421
31		2581		35262		3426
32		2557		35412		3421
33		2541		35586		3421
34		2539		35751		3421
35		2513		35883		3418
36		2512		36010		3414
37		2497		36144		3423
38		2476		36257		3413
39		2454		36387		3418
40		2445		36516		3412
41		2432		36638		3411
42		2417		36745		3402
43		2403		36826		3408
44		2394		36929		3402
45		2376		37033		3411
46		2352		37142		3397
47		2330		37231		3403
48		2319		37307		3414
49		2314		37393		3411
50		2300		37468		3415
51		2300		37528		3412
52		2289		37596		3417
53		2281		37667		3410
54		2280		37748		3409
55		2279		37844		3416
56		2275		37948		3413
57		2255		38015		3415
58		2259		38090		3412
59		2259		38177		3421
60		2254		38249		3426
61		2233		38321		3422
62		2224		38413		3415
63		2217		38499		3414
64		2215		38566		3420
65		2214		38623		3419
66		2204		38689		3412
67		2198		38765		3409
68		2184		38857		3410
69		2181		38926		3406
70		2170		39006		3403
71		2164		39091		3395
72		2149		39161		3394
73		2142		39246		3405
74		2148		39312		3408
75		2144		39387		3402
76		2123		39462		3403
77		2110		39536		3399
78		2119		39609		3401
79		2118		39686		3403
80		2118		39759		3400
81		2119		39843		3407
82		2107		39909		3409
83		2090		39974		3404
84		2089		40044		3415
85		2093		40117		3406
86		2092		40200		3418
87		2090		40291		3417
88		2087		40381		3418
89		2077		40450		3410
90		2071		40531		3409
91		2050		40599		3414
92		2048		40647		3410
93		2047		40706		3414
94		2048		40771		3409
95		2035		40824		3408
96		2022		40876		3411
97		2028		40923		3418
98		2030		40987		3409
99		2018		41043		3408
100		2025		41097		3411
101		2009		41158		3413
102		2009		41222		3407
103		2002		41277		3410
104		1998		41330		3406
105		1993		41380		3406
106		1994		41411		3402
107		1990		41452		3410
108		1970		41502		3420
109		1971		41539		3422
110		1970		41584		3425
111		1970		41613		3419
112		1962		41643		3420
113		1964		41668		3419
114		1965		41715		3419
115		1955		41753		3432
116		1950		41785		3421
117		1947		41807		3422
118		1947		41831		3426
119		1958		41862		3419
120		1957		41895		3416
121		1950		41931		3419
122		1951		41955		3420
123		1952		41992		3419
124		1947		42043		3419
125		1947		42074		3424
126		1941		42103		3420
127		1944		42140		3421
128		1948		42170		3422
129		1945		42189		3429
130		1938		42215		3423
131		1936		42242		3421
132		1928		42268		3422
133		1929		42298		3422
134		1928		42321		3418
135		1923		42343		3421
136		1916		42378		3422
137		1911		42402		3424
138		1908		42425		3418
139		1902		42441		3422
140		1897		42461		3420
141		1893		42471		3421
142		1897		42480		3422
143		1894		42490		3419
144		1886		42501		3421
145		1883		42506		3422
146		1881		42509		3420
147		1883		42517		3420
148		1882		42524		3420
149		1882		42533		3421
150		1880		42540		3423
151		1881		42551		3419
152		1882		42558		3422
153		1882		42565		3420
154		1881		42571		3419
155		1880		42579		3422
156		1875		42588		3418
157		1876		42599		3420
158		1879		42606		3417
159		1874		42616		3418
160		1875		42617		3420
161		1878		42623		3419
162		1873		42632		3421
163		1875		42638		3421
164		1876		42649		3421
165		1871		42659		3420
166		1871		42665		3419
167		1872		42672		3418
168		1870		42677		3420
169		1872		42680		3416
170		1870		42688		3419
171		1870		42694		3417
172		1869		42698		3419
173		1868		42703		3418
174		1868		42707		3418
175		1870		42713		3417
176		1872		42716		3415
177		1870		42720		3421
178		1867		42725		3418
179		1864		42728		3420
180		1864		42730		3420
181		1865		42733		3418
182		1867		42740		3418
183		1864		42746		3418
184		1866		42755		3416
185		1862		42758		3419
186		1863		42761		3417
187		1863		42763		3417
188		1864		42770		3418
189		1862		42775		3416
190		1858		42778		3416
191		1859		42781		3416
192		1861		42785		3416
193		1863		42792		3417
194		1862		42799		3416
195		1861		42806		3414
196		1862		42811		3415
197		1863		42815		3415
198		1862		42830		3416
199		1862		42835		3417
200		1863		42840		3418
201		1865		42843		3416
202		1865		42852		3415
203		1864		42855		3416
204		1861		42860		3418
205		1861		42862		3418
206		1861		42863		3416
207		1861		42864		3416
208		1862		42866		3418
209		1862		42866		3418
210		1860		42869		3416
211		1860		42870		3417
212		1860		42873		3417
213		1860		42875		3417
214		1862		42884		3417
215		1861		42889		3415
216		1858		42890		3416
217		1858		42890		3416
218		1858		42890		3416
219		1858		42890		3416
220		1858		42890		3416
221		1858		42890		3416
222		1858		42890		3416
223		1857		42891		3417
224		1857		42891		3417
225		1856		42892		3415
226		1856		42892		3415
227		1856		42892		3415
228		1856		42892		3415
229		2417		43797		3431
230		2737		44878		3436
231		2916		45861		3438
232		2894		46743		3453
233		2792		47555		3443
234		2651		48265		3442
235		2525		48835		3444
236		2415		49346		3423
237		2354		49763		3426
238		2252		50097		3433
239		2204		50405		3407
240		2150		50710		3423
241		2140		50936		3417
242		2071		51138		3425
243		2053		51340		3436
244		2035		51539		3431
245		2010		51697		3431
246		1979		51894		3424
247		1976		52051		3433
248		1961		52190		3435
249		1947		52333		3426
250		1931		52454		3427
251		1935		52568		3420
252		1920		52725		3429
253		1919		52875		3423
254		1903		53030		3421
255		1877		53135		3417
256		1870		53263		3432
257		1847		53361		3428
258		1842		53440		3434
259		1828		53530		3436
260		1829		53610		3433
261		1806		53677		3428
262		1802		53782		3440
263		1796		53858		3432
264		1788		53942		3437
265		1790		54013		3434
266		1775		54088		3430
267		1768		54151		3437
268		1763		54214		3436
269		1752		54272		3438
270		1751		54334		3436
271		1750		54392		3436
272		1756		54462		3440
273		1741		54518		3444
274		1728		54561		3437
275		1734		54602		3440
276		1726		54645		3440
277		1723		54690		3440
278		1719		54728		3433
279		1717		54771		3435
280		1708		54800		3433
281		1697		54827		3431
282		1701		54848		3432
283		1696		54877		3427
284		1692		54885		3431
285		1697		54906		3432
286		1688		54916		3430
287		1687		54929		3433
288		1688		54942		3434
289		1687		54960		3435
290		1687		54974		3436
291		1679		54988		3435
292		1682		55006		3436
293		1678		55021		3434
294		1679		55038		3433
295		1679		55048		3434
296		1678		55065		3433
297		1671		55075		3433
298		1671		55083		3435
299		1669		55086		3435
300		1672		55096		3430
301		1670		55101		3432
302		1668		55104		3433
303		1666		55113		3433
304		1664		55116		3435
